"LBCPDELA.Code.or.Value","LBCPDELA.Value.Description","LBCPDELA.Count","LBCPDELA.Cumulative","LBCPDELA.Skip.to.Item"
"24.18 to 5338","Range of Values",250,250,NA
".","Missing",1,251,NA
