"DS1TZINC.Code.or.Value","DS1TZINC.Value.Description","DS1TZINC.Count","DS1TZINC.Cumulative","DS1TZINC.Skip.to.Item"
"0 to 99.6","Range of Values",1661,1661,NA
".","Missing",8101,9762,NA
