"DRD370L.Code.or.Value","DRD370L.Value.Description","DRD370L.Count","DRD370L.Cumulative","DRD370L.Skip.to.Item"
"1","Yes",36,36,""
"2","No",5044,5080,"DRD370M"
".","Missing",4202,9282,""
