"DRD370N.Code.or.Value","DRD370N.Value.Description","DRD370N.Count","DRD370N.Cumulative","DRD370N.Skip.to.Item"
"1","Yes",223,223,""
"2","No",5348,5571,"DRD370O"
".","Missing",4379,9950,""
