"DR2IIRON.Code.or.Value","DR2IIRON.Value.Description","DR2IIRON.Count","DR2IIRON.Cumulative","DR2IIRON.Skip.to.Item"
"0 to 176.6","Range of Values",120673,120673,NA
".","Missing",668,121341,NA
