"URXEQU.Code.or.Value","URXEQU.Value.Description","URXEQU.Count","URXEQU.Cumulative","URXEQU.Skip.to.Item"
"0.2 to 8040","Range of Values",2590,2590,NA
".","Missing",107,2697,NA
