"URXATZ.Code.or.Value","URXATZ.Value.Description","URXATZ.Count","URXATZ.Cumulative","URXATZ.Skip.to.Item"
"0.21 to 8.17","Range of Values",2972,2972,NA
".","Missing",180,3152,NA
