"FSQ162.Code.or.Value","FSQ162.Value.Description","FSQ162.Count","FSQ162.Cumulative","FSQ162.Skip.to.Item"
"1","Yes",1997,1997,NA
"2","No",6466,8463,NA
"7","Refused",3,8466,NA
"9","Don't know",5,8471,NA
".","Missing",1877,10348,NA
