"CFDDS.Code.or.Value","CFDDS.Value.Description","CFDDS.Count","CFDDS.Cumulative","CFDDS.Skip.to.Item"
"0 to 105","Range of Values",1592,1592,NA
".","Missing",193,1785,NA
