"DRXMC.Code.or.Value","DRXMC.Value.Description","DRXMC.Count","DRXMC.Cumulative","DRXMC.Skip.to.Item"
"100004 to 207829","Range of Values",1145,1145,NA
".","Missing",0,1145,NA
