"OSQ040aa.Code.or.Value","OSQ040aa.Value.Description","OSQ040aa.Count","OSQ040aa.Cumulative","OSQ040aa.Skip.to.Item"
"1","Under 50 years old, or",29,29,"OSQ025"
"2","50 years old or older?",52,81,""
"7","Refused",0,81,"OSQ025"
"9","Don't know",1,82,"OSQ025"
".","Missing",3733,3815,""
