"LBXCRY.Code.or.Value","LBXCRY.Value.Description","LBXCRY.Count","LBXCRY.Cumulative","LBXCRY.Skip.to.Item"
"0.9 to 208.6","Range of Values",8305,8305,NA
"0.64","Fill Value of Limit of Detection",12,8317,NA
".","Missing",945,9262,NA
