"BIXS006K.Code.or.Value","BIXS006K.Value.Description","BIXS006K.Count","BIXS006K.Cumulative","BIXS006K.Skip.to.Item"
"378.25 to 1009.22","Range of Values",4298,4298,NA
".","Missing",1031,5329,NA
