"URXUSB.Code.or.Value","URXUSB.Value.Description","URXUSB.Count","URXUSB.Cumulative","URXUSB.Skip.to.Item"
"0.023 to 47","Range of Values",2576,2576,NA
".","Missing",116,2692,NA
