"LBXSF4SI.Code.or.Value","LBXSF4SI.Value.Description","LBXSF4SI.Count","LBXSF4SI.Cumulative","LBXSF4SI.Skip.to.Item"
"0.141 to 39.3","Range of Values",8454,8454,NA
".","Missing",968,9422,NA
