"WHQ580.Code.or.Value","WHQ580.Value.Description","WHQ580.Count","WHQ580.Cumulative","WHQ580.Skip.to.Item"
"1","never,",133,133,NA
"2","sometimes, or",496,629,NA
"3","a lot?",127,756,NA
"7","Refused",0,756,NA
"9","Don't know",1,757,NA
".","Missing",703,1460,NA
