"VIQ150.Code.or.Value","VIQ150.Value.Description","VIQ150.Count","VIQ150.Cumulative","VIQ150.Skip.to.Item"
"1","Yes",1743,1743,""
"2","No",269,2012,"VIXNC1"
"9","Don't know",2,2014,""
".","Missing",4744,6758,""
