"URXPIM.Code.or.Value","URXPIM.Value.Description","URXPIM.Count","URXPIM.Cumulative","URXPIM.Skip.to.Item"
"0.042 to 0.042","Range of Values",2250,2250,NA
".","Missing",362,2612,NA
