"DS2TVK.Code.or.Value","DS2TVK.Value.Description","DS2TVK.Count","DS2TVK.Cumulative","DS2TVK.Skip.to.Item"
"2.5 to 2000","Range of Values",871,871,NA
".","Missing",8467,9338,NA
