"LBXD04.Code.or.Value","LBXD04.Value.Description","LBXD04.Count","LBXD04.Cumulative","LBXD04.Skip.to.Item"
"10.54 to 1211.6","Range of Values",1870,1870,NA
".","Missing",404,2274,NA
