"LBXHGB.Code.or.Value","LBXHGB.Value.Description","LBXHGB.Count","LBXHGB.Cumulative","LBXHGB.Skip.to.Item"
"7.5 to 19.7","Range of Values",8267,8267,NA
".","Missing",1040,9307,NA
