"OCD150.Code.or.Value","OCD150.Value.Description","OCD150.Count","OCD150.Cumulative","OCD150.Skip.to.Item"
"1","Working at a job or business,",3000,3000,"OCQ180"
"2","With a job or business but not at work,",87,3087,"OCQ210"
"3","Looking for work, or",297,3384,"OCD390G"
"4","Not working at a job or business?",2788,6172,"OCQ380"
"7","Refused",2,6174,"OCD390G"
"9","Don't know",0,6174,"OCD390G"
".","Missing",1,6175,""
