"HOD050.Code.or.Value","HOD050.Value.Description","HOD050.Count","HOD050.Cumulative","HOD050.Skip.to.Item"
"1 to 12","Range of Values",10348,10348,NA
"13","13 or more",97,10445,NA
"777","Refused",13,10458,NA
"999","Don't know",11,10469,NA
".","Missing",68,10537,NA
