"SSFOLTSI.Code.or.Value","SSFOLTSI.Value.Description","SSFOLTSI.Count","SSFOLTSI.Cumulative","SSFOLTSI.Skip.to.Item"
"1.5737312812 to 432.61322188","Range of Values",1252,1252,NA
".","Missing",1,1253,NA
