"URXCOTT.Code.or.Value","URXCOTT.Value.Description","URXCOTT.Count","URXCOTT.Cumulative","URXCOTT.Skip.to.Item"
"0.021 to 21100","Range of Values",2335,2335,NA
".","Missing",127,2462,NA
