"WBXP087.Code.or.Value","WBXP087.Value.Description","WBXP087.Count","WBXP087.Cumulative","WBXP087.Skip.to.Item"
"-174.9811 to 174.0048","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
