"SPAMANU.Code.or.Value","SPAMANU.Value.Description","SPAMANU.Count","SPAMANU.Cumulative","SPAMANU.Skip.to.Item"
"1 to 9","Range of Values",36421,36421,NA
".","Missing",0,36421,NA
