"URDMBPLC.Code.or.Value","URDMBPLC.Value.Description","URDMBPLC.Count","URDMBPLC.Cumulative","URDMBPLC.Skip.to.Item"
"0","At or above the detection limit",2642,2642,NA
"1","Below lower detection limit",43,2685,NA
".","Missing",92,2777,NA
