"DS2DSCNT.Code.or.Value","DS2DSCNT.Value.Description","DS2DSCNT.Count","DS2DSCNT.Cumulative","DS2DSCNT.Skip.to.Item"
"0 to 18","Range of Values",7012,7012,NA
".","Missing",2532,9544,NA
