"LBDSSESI.Code.or.Value","LBDSSESI.Value.Description","LBDSSESI.Count","LBDSSESI.Cumulative","LBDSSESI.Skip.to.Item"
"0.95 to 3.78","Range of Values",2519,2519,NA
".","Missing",236,2755,NA
