"IMQ030.Code.or.Value","IMQ030.Value.Description","IMQ030.Count","IMQ030.Cumulative","IMQ030.Skip.to.Item"
"1","Yes",855,855,NA
"2","No",3827,4682,NA
"7","Refused",2,4684,NA
"9","Don't know",194,4878,NA
".","Missing",5087,9965,NA
