"LBX183LA.Code.or.Value","LBX183LA.Value.Description","LBX183LA.Count","LBX183LA.Cumulative","LBX183LA.Skip.to.Item"
"1.1 to 32.8","Range of Values",2306,2306,NA
".","Missing",241,2547,NA
