"LBXSF2SI.Code.or.Value","LBXSF2SI.Value.Description","LBXSF2SI.Count","LBXSF2SI.Cumulative","LBXSF2SI.Skip.to.Item"
"0.099 to 418","Range of Values",8047,8047,NA
".","Missing",1118,9165,NA
