"OHD15LAS.Code.or.Value","OHD15LAS.Value.Description","OHD15LAS.Count","OHD15LAS.Cumulative","OHD15LAS.Skip.to.Item"
"0 to 10","Range of Values",2315,2315,NA
"99","Calculation cannot be determined",476,2791,NA
".","Missing",4339,7130,NA
