"OPDUOTHC.Code.or.Value","OPDUOTHC.Value.Description","OPDUOTHC.Count","OPDUOTHC.Cumulative","OPDUOTHC.Skip.to.Item"
"0","No",2347,2347,NA
"1","Questionable",18,2365,NA
"2","Yes",115,2480,NA
"3","Yes, in center",0,2480,NA
".","Missing",454,2934,NA
