"DID341.Code.or.Value","DID341.Value.Description","DID341.Count","DID341.Cumulative","DID341.Skip.to.Item"
"1 to 96","Range of Values",524,524,NA
"0","None",202,726,NA
"7777","Refused",0,726,NA
"9999","Don't know/not sure",4,730,NA
".","Missing",9379,10109,NA
