"LBDVDBLC.Code.or.Value","LBDVDBLC.Value.Description","LBDVDBLC.Count","LBDVDBLC.Cumulative","LBDVDBLC.Skip.to.Item"
"0","At or above detection limit",1355,1355,NA
"1","Below lower detection limit",1801,3156,NA
"2","Detectable result and exceeds the calibrated range of assay",0,3156,NA
".","Missing",291,3447,NA
