"DXXHEBMC.Code.or.Value","DXXHEBMC.Value.Description","DXXHEBMC.Count","DXXHEBMC.Cumulative","DXXHEBMC.Skip.to.Item"
"185.82 to 1144.25","Range of Values",4072,4072,NA
".","Missing",1042,5114,NA
