"ORXH69.Code.or.Value","ORXH69.Value.Description","ORXH69.Count","ORXH69.Cumulative","ORXH69.Skip.to.Item"
"1","Positive",6,6,NA
"2","Negative",4404,4410,NA
"3","Not evaluated",386,4796,NA
".","Missing",0,4796,NA
