"BIXS421K.Code.or.Value","BIXS421K.Value.Description","BIXS421K.Count","BIXS421K.Cumulative","BIXS421K.Skip.to.Item"
"90.85 to 854.17","Range of Values",4709,4709,NA
".","Missing",1240,5949,NA
