"LBXTO2.Code.or.Value","LBXTO2.Value.Description","LBXTO2.Count","LBXTO2.Cumulative","LBXTO2.Skip.to.Item"
"0 to 9.5","Range of Values",667,667,NA
".","Missing",4996,5663,NA
