"DR1TZINC.Code.or.Value","DR1TZINC.Value.Description","DR1TZINC.Count","DR1TZINC.Cumulative","DR1TZINC.Skip.to.Item"
"0 to 477.53","Range of Values",7484,7484,NA
".","Missing",1220,8704,NA
