"PAQ690j.Code.or.Value","PAQ690j.Value.Description","PAQ690j.Count","PAQ690j.Cumulative","PAQ690j.Skip.to.Item"
"19","Used buses, trains, or subways",13,13,NA
".","Missing",6533,6546,NA
