"MPQ120l.Code.or.Value","MPQ120l.Value.Description","MPQ120l.Count","MPQ120l.Cumulative","MPQ120l.Skip.to.Item"
"21","Upper back - left",132,132,NA
".","Missing",5279,5411,NA
