"WBXP031.Code.or.Value","WBXP031.Value.Description","WBXP031.Count","WBXP031.Cumulative","WBXP031.Skip.to.Item"
"-37.1268 to 165.005","Range of Values",5671,5671,NA
".","Missing",11,5682,NA
