"LBDPFDEL.Code.or.Value","LBDPFDEL.Value.Description","LBDPFDEL.Count","LBDPFDEL.Cumulative","LBDPFDEL.Skip.to.Item"
"0","At or above the detection limit",1433,1433,NA
"1","Below lower detection limit",667,2100,NA
".","Missing",194,2294,NA
