"MIAINTRP.Code.or.Value","MIAINTRP.Value.Description","MIAINTRP.Count","MIAINTRP.Cumulative","MIAINTRP.Skip.to.Item"
"1","Yes",247,247,NA
"2","No",7066,7313,NA
".","Missing",2862,10175,NA
