"DR1TS160.Code.or.Value","DR1TS160.Value.Description","DR1TS160.Count","DR1TS160.Cumulative","DR1TS160.Skip.to.Item"
"0 to 69.742","Range of Values",8894,8894,NA
".","Missing",749,9643,NA
