"DR2IATOC.Code.or.Value","DR2IATOC.Value.Description","DR2IATOC.Count","DR2IATOC.Cumulative","DR2IATOC.Skip.to.Item"
"0 to 67.47","Range of Values",128570,128570,NA
".","Missing",571,129141,NA
