"RFXC056.Code.or.Value","RFXC056.Value.Description","RFXC056.Count","RFXC056.Cumulative","RFXC056.Skip.to.Item"
"-5.192 to 4.201","Range of Values",51064,51064,NA
".","Missing",12,51076,NA
