"OHD29LAM.Code.or.Value","OHD29LAM.Value.Description","OHD29LAM.Count","OHD29LAM.Cumulative","OHD29LAM.Skip.to.Item"
"0 to 12","Range of Values",1521,1521,NA
"99","Calculation cannot be determined",264,1785,NA
".","Missing",4973,6758,NA
