"DR2TATOA.Code.or.Value","DR2TATOA.Value.Description","DR2TATOA.Count","DR2TATOA.Cumulative","DR2TATOA.Skip.to.Item"
"0 to 56.25","Range of Values",8220,8220,NA
".","Missing",1423,9643,NA
