"DR2TLYCO.Code.or.Value","DR2TLYCO.Value.Description","DR2TLYCO.Count","DR2TLYCO.Cumulative","DR2TLYCO.Skip.to.Item"
"0 to 120068","Range of Values",7496,7496,NA
".","Missing",1842,9338,NA
