"DXXTRLI.Code.or.Value","DXXTRLI.Value.Description","DXXTRLI.Count","DXXTRLI.Cumulative","DXXTRLI.Skip.to.Item"
"6067.6 to 56558.4","Range of Values",4620,4620,NA
".","Missing",1072,5692,NA
