"RFXT076.Code.or.Value","RFXT076.Value.Description","RFXT076.Count","RFXT076.Cumulative","RFXT076.Skip.to.Item"
"654 to 663","Range of Values",33696,33696,NA
".","Missing",25,33721,NA
