"LBDPFDEL.Code.or.Value","LBDPFDEL.Value.Description","LBDPFDEL.Count","LBDPFDEL.Cumulative","LBDPFDEL.Skip.to.Item"
"0","At or above the detection limit",1318,1318,NA
"1","Below lower detection limit",675,1993,NA
".","Missing",177,2170,NA
