"AUXRR102.Code.or.Value","AUXRR102.Value.Description","AUXRR102.Count","AUXRR102.Cumulative","AUXRR102.Skip.to.Item"
"-77 to 47","Range of Values",1676,1676,NA
".","Missing",131,1807,NA
