"DS1IMAGN.Code.or.Value","DS1IMAGN.Value.Description","DS1IMAGN.Count","DS1IMAGN.Cumulative","DS1IMAGN.Skip.to.Item"
"0.3 to 2000","Range of Values",1667,1667,NA
".","Missing",4056,5723,NA
