"DSQISUGR.Code.or.Value","DSQISUGR.Value.Description","DSQISUGR.Count","DSQISUGR.Cumulative","DSQISUGR.Skip.to.Item"
"0.33 to 66","Range of Values",1226,1226,NA
".","Missing",7174,8400,NA
