"DRD350CQ.Code.or.Value","DRD350CQ.Value.Description","DRD350CQ.Count","DRD350CQ.Cumulative","DRD350CQ.Skip.to.Item"
"1 to 7","Range of Values",143,143,NA
".","Missing",9401,9544,NA
