"LBDLDLSI.Code.or.Value","LBDLDLSI.Value.Description","LBDLDLSI.Count","LBDLDLSI.Cumulative","LBDLDLSI.Skip.to.Item"
"0.491 to 8.482","Range of Values",3026,3026,NA
".","Missing",326,3352,NA
