"DSQTPHOS.Code.or.Value","DSQTPHOS.Value.Description","DSQTPHOS.Count","DSQTPHOS.Cumulative","DSQTPHOS.Skip.to.Item"
"0.3 to 1100","Range of Values",1389,1389,NA
".","Missing",9148,10537,NA
