"LBXSC3SI.Code.or.Value","LBXSC3SI.Value.Description","LBXSC3SI.Count","LBXSC3SI.Cumulative","LBXSC3SI.Skip.to.Item"
"15 to 38","Range of Values",6860,6860,NA
".","Missing",509,7369,NA
