"LBDSUASI.Code.or.Value","LBDSUASI.Value.Description","LBDSUASI.Count","LBDSUASI.Cumulative","LBDSUASI.Skip.to.Item"
"23.8 to 672.1","Range of Values",5974,5974,NA
".","Missing",575,6549,NA
